Wavenumber,0-1,1-1,10-1,11-1,2-1,4-1,5-1,6-1,7-1,8-1,9-1
956.23438,2203026.0,2148433.0,2079592.0,2068718.0,2123600.0,2169898.0,2055640.0,2092417.0,2091714.0,2085468.0,2126708.0
957.49664,2203301.0,2146768.0,2075040.0,2063868.0,2120004.0,2163092.0,2050961.0,2086864.0,2084620.0,2079390.0,2119818.0
958.75879,2207578.0,2146825.0,2071222.0,2060385.0,2117382.0,2160443.0,2046627.0,2083579.0,2080594.0,2077128.0,2117223.0
960.02087,2213346.0,2147582.0,2068251.0,2056819.0,2115566.0,2156649.0,2043244.0,2079609.0,2076691.0,2072464.0,2113587.0
961.28125,2221187.0,2150140.0,2065908.0,2053751.0,2115500.0,2153789.0,2041859.0,2077921.0,2075453.0,2069181.0,2109738.0
962.54297,2230905.0,2154358.0,2062752.0,2051297.0,2116500.0,2152504.0,2040083.0,2074642.0,2072559.0,2068083.0,2108259.0
963.80304,2241556.0,2156826.0,2057289.0,2046507.0,2114759.0,2148045.0,2033883.0,2070034.0,2066717.0,2062799.0,2103149.0
965.06445,2258284.0,2163164.0,2052785.0,2042031.0,2118017.0,2144355.0,2031324.0,2066463.0,2063336.0,2057365.0,2097875.0
966.32574,2286420.0,2176191.0,2053282.0,2043391.0,2121835.0,2147185.0,2033462.0,2067310.0,2062851.0,2059475.0,2098875.0
967.58545,2314644.0,2190850.0,2050448.0,2039539.0,2127484.0,2145086.0,2030975.0,2065726.0,2060870.0,2057127.0,2097709.0
968.84644,2343632.0,2201658.0,2043500.0,2033074.0,2127943.0,2141144.0,2025050.0,2059198.0,2053921.0,2049735.0,2089208.0
970.10577,2386038.0,2222166.0,2043279.0,2032634.0,2137691.0,2141801.0,2024976.0,2059569.0,2054506.0,2048826.0,2087319.0
971.36652,2423102.0,2237798.0,2038568.0,2029740.0,2143172.0,2141154.0,2023836.0,2055791.0,2049655.0,2046391.0,2085488.0
972.62555,2473725.0,2263796.0,2040222.0,2028170.0,2154946.0,2143286.0,2023884.0,2056285.0,2050798.0,2044744.0,2083142.0
973.88452,2539565.0,2296011.0,2033679.0,2023119.0,2167646.0,2143839.0,2021166.0,2051670.0,2045589.0,2040107.0,2079926.0
975.14478,2640435.0,2347830.0,2032400.0,2019973.0,2192132.0,2147007.0,2023113.0,2051210.0,2045204.0,2039084.0,2077583.0
976.4035,2795255.0,2424172.0,2031610.0,2020015.0,2229435.0,2155103.0,2024118.0,2052270.0,2042790.0,2036842.0,2076601.0
977.66345,3017208.0,2538946.0,2026467.0,2016069.0,2283403.0,2167324.0,2028168.0,2053433.0,2042424.0,2035666.0,2072617.0
978.92181,3364755.0,2720105.0,2026572.0,2015792.0,2371578.0,2189439.0,2037750.0,2058687.0,2045062.0,2035667.0,2074167.0
980.18005,3906500.0,3001584.0,2023640.0,2013462.0,2504868.0,2221266.0,2049671.0,2063372.0,2046201.0,2034064.0,2071942.0
981.43811,4767182.0,3451952.0,2020645.0,2007064.0,2724796.0,2274722.0,2071290.0,2074664.0,2049675.0,2034361.0,2068327.0
982.69751,6104976.0,4155031.0,2022834.0,2010392.0,3069134.0,2363008.0,2112071.0,2097839.0,2061229.0,2040077.0,2072004.0
983.95532,7841115.0,5047886.0,2021307.0,2007432.0,3494617.0,2465453.0,2154173.0,2119845.0,2070128.0,2042364.0,2071756.0
985.21295,9324880.0,5757430.0,2020315.0,2005027.0,3813225.0,2535826.0,2183646.0,2136302.0,2077782.0,2045475.0,2071897.0
986.47046,9553452.0,5758927.0,2017078.0,2003406.0,3781160.0,2512338.0,2171359.0,2127112.0,2073091.0,2040300.0,2069803.0
987.72784,8344269.0,5058487.0,2014060.0,2001250.0,3423562.0,2417515.0,2126302.0,2101961.0,2058797.0,2033652.0,2063810.0
988.98511,6568824.0,4155136.0,2010423.0,1998133.0,2995023.0,2310651.0,2079253.0,2073337.0,2041653.0,2024320.0,2058418.0
990.24219,5098360.0,3456469.0,2009469.0,1998818.0,2674279.0,2237708.0,2048888.0,2057349.0,2034980.0,2022093.0,2057504.0
991.50061,4111174.0,2994564.0,2004148.0,1992395.0,2462643.0,2183925.0,2021889.0,2038966.0,2022994.0,2012093.0,2049486.0
992.75739,3518116.0,2724288.0,2004396.0,1994092.0,2341930.0,2157868.0,2011463.0,2032712.0,2020011.0,2011260.0,2049590.0
994.01404,3148548.0,2550252.0,1997088.0,1985795.0,2261867.0,2131997.0,1997524.0,2022661.0,2010453.0,2004768.0,2044171.0
995.27051,2931450.0,2452896.0,1999081.0,1988873.0,2218020.0,2125617.0,1994861.0,2021897.0,2012484.0,2005550.0,2045007.0
996.52539,2790247.0,2384918.0,1993507.0,1982445.0,2183987.0,2114025.0,1987915.0,2014383.0,2005542.0,1999585.0,2038168.0
997.78162,2712209.0,2350560.0,1995318.0,1984288.0,2169911.0,2111139.0,1987252.0,2017618.0,2007504.0,2001635.0,2040007.0
999.03766,2661081.0,2325616.0,1990667.0,1980919.0,2154884.0,2103403.0,1981727.0,2011302.0,2001391.0,1996272.0,2035835.0
1000.2936,2637236.0,2316014.0,1990276.0,1979146.0,2151670.0,2102665.0,1980629.0,2010201.0,2001727.0,1994939.0,2034333.0
1001.5494,2631981.0,2309785.0,1986753.0,1975828.0,2147479.0,2099279.0,1977434.0,2006372.0,1998149.0,1992368.0,2031182.0
1002.8051,2645886.0,2319472.0,1988310.0,1977464.0,2151404.0,2101057.0,1979896.0,2008644.0,1998470.0,1992729.0,2033272.0
1004.0605,2665303.0,2329036.0,1985065.0,1974333.0,2155856.0,2100534.0,1978560.0,2007092.0,1996980.0,1991354.0,2031104.0
1005.3144,2692216.0,2340990.0,1982476.0,1970239.0,2159049.0,2098213.0,1974607.0,2002294.0,1992741.0,1987672.0,2026486.0
1006.5696,2733091.0,2361138.0,1981811.0,1969185.0,2169065.0,2101063.0,1975692.0,2002256.0,1992510.0,1985647.0,2025536.0
1007.8248,2780048.0,2385189.0,1979689.0,1968930.0,2178861.0,2102155.0,1975412.0,2001842.0,1991744.0,1985834.0,2024151.0
1009.0797,2830034.0,2408648.0,1976750.0,1964193.0,2188260.0,2101396.0,1973649.0,2000262.0,1988790.0,1983755.0,2021109.0
1010.3329,2891740.0,2438997.0,1976842.0,1965865.0,2202950.0,2106688.0,1976766.0,2001685.0,1991169.0,1984864.0,2022946.0
1011.5876,2948196.0,2465365.0,1973627.0,1962649.0,2215107.0,2106638.0,1974585.0,1999875.0,1987738.0,1980954.0,2019397.0
1012.8406,3008288.0,2493868.0,1970815.0,1959798.0,2223957.0,2105895.0,1973734.0,1997448.0,1983768.0,1977543.0,2016685.0
1014.095,3070516.0,2524409.0,1970802.0,1958458.0,2239290.0,2109601.0,1972761.0,1996863.0,1983334.0,1977151.0,2015045.0
1015.3492,3125281.0,2549222.0,1967154.0,1955561.0,2247967.0,2108085.0,1971453.0,1994557.0,1979807.0,1973947.0,2012924.0
1016.6019,3179750.0,2577519.0,1967514.0,1955956.0,2259684.0,2112389.0,1973564.0,1995474.0,1981796.0,1974239.0,2012946.0
