Wavenumber,1-ocp_02,10--1_2v_01,11--1_3v_01,12--1_4v_01,13--1_5v_01,14--1_6v_01,15--1_7v_01,16--1_8v_01,17--1_9v_01,18--1_7v-b_01,18--1_8v-b_01,19--1_6v-b_01,2--0_4v_01,20--1_5v-b_01,21--1_4v-b_01,22--1_3v-b_01,23--1_2v-b_01,24--1_1v-b_01,25--1v-b_01,26--0_9v-b_01,27--0_8v-b_01,28--0_7v-b_01,29--0_6v-b_01,3--0_5v_01,30--0_5v-b_01,31--0_4v-b_01,32--ocp-b_01,34--2v-b_01,4--0_6v_01,5--0_7v_01,6--0_8v_01,7--0_9v_01,8--1v_01,9--1_1v_01
25.2774,1588.41,2256.69,2096.5,2009.83,1937.79,1948.27,2031.65,2036.89,1962.41,1558.91,1615.59,1508.93,1863.42,1423.47,1393.36,1386.54,1464.43,1422.25,1469.92,1373.61,1420.43,1496.25,2100.16,2121.74,1506.37,1480.4,1312.05,565.025,2523.29,2761.73,2518.41,2216.46,2289.36,2234.99
25.6177,1574.31,2256.3,2079.71,1981.12,1923.59,1934.68,2053.14,2000.49,1953.94,1573.1,1630.5,1491.44,1854.13,1414.66,1394.07,1386.63,1463.66,1414.79,1458.17,1354.34,1412.96,1494.85,2092.99,2114.93,1509.24,1466.7,1294.99,561.21,2513.69,2735.85,2516.85,2177.2,2262.15,2214.62
25.958,1556.27,2263.5,2047.86,1985.48,1916.77,1933.58,2012.16,1998.64,1933.83,1548.11,1624.86,1483.42,1841.48,1416.16,1385.46,1369.14,1446.99,1398.01,1456.98,1352.08,1414.22,1509.61,2088.19,2105.12,1489.63,1454.91,1298.35,554.697,2480.72,2723.17,2504.85,2183.09,2248.15,2198.08
26.2983,1548.11,2208.47,2059.88,1973.17,1924.94,1925.91,2009.34,1999.47,1922.74,1557.73,1623.01,1471.75,1827.26,1404.88,1366.64,1367.49,1437.64,1414.99,1450.92,1373.21,1397.45,1481.98,2069.75,2087.53,1504.02,1432.65,1289.54,550.504,2491.64,2716.96,2469.84,2164.87,2238.19,2199.7
26.6386,1554.04,2211.67,2036.34,1961.58,1886.94,1915.06,1983.13,1968.27,1902.28,1533.46,1600.07,1472.1,1827.39,1398.19,1366.65,1377.24,1431.79,1412.8,1439.58,1334.99,1394.9,1480.98,2066.53,2076.52,1480.13,1436.05,1290.91,553.893,2468.47,2694.82,2473.1,2159.44,2233.1,2171.86
26.9789,1537.12,2192.82,2032.98,1934.24,1882.75,1880.92,1980.75,1969.79,1883.84,1520.44,1588.01,1456.4,1822.48,1398.58,1352.56,1342.33,1426.94,1388.35,1428.04,1340.14,1382.02,1472.11,2054.52,2055.25,1479.9,1437.9,1271.48,544.067,2418.78,2666.64,2444.83,2141.57,2223.26,2173.22
27.3191,1530.27,2181.94,2011.87,1940.41,1880.88,1899.99,1971.94,1953.8,1879.42,1517.36,1590.16,1459.66,1794.44,1373.22,1364.82,1364.58,1414.49,1380.28,1432.75,1338.41,1400.49,1459.29,2059.84,2052.9,1491.19,1437.26,1266.82,544.663,2419.94,2680.83,2454.76,2146.39,2218.34,2167.7
27.6608,1523.02,2194.25,2013.2,1923.11,1858.94,1880.49,1956.59,1937.96,1870.63,1505.85,1570.38,1446.8,1781.38,1386.9,1362.19,1349.52,1435.85,1381.06,1422.82,1339.54,1390.55,1465.07,2057.04,2052.41,1493.92,1415.51,1270.38,538.153,2436.18,2657.77,2437.4,2120.71,2197.05,2140.8
28.0011,1502.19,2191.24,2009.54,1918.33,1862.67,1853.78,1939.64,1927.22,1842.33,1499.88,1569.66,1440.94,1789.11,1371.16,1339.13,1333.28,1407.69,1386.38,1435.33,1343.39,1381.38,1459.45,2046.69,2042.67,1481.98,1431.32,1259.85,541.447,2397.91,2635.14,2416.66,2117.2,2184.79,2131.2
28.3413,1507.17,2145.64,1989.7,1913.93,1843.76,1853.39,1942.44,1923.07,1853.39,1493.89,1559.07,1436.51,1760.32,1376.94,1341.13,1342.96,1406.18,1357.82,1414.83,1336.5,1373.41,1460.76,2049.4,2016.02,1471.48,1425.31,1257.93,528.947,2390.86,2618.55,2394.64,2105.19,2170.12,2126.88
