Wavenumber,Original,Baseline,Corrected
19.8258,1628.09,1577.61285266414,50.477147335859854
20.1664,1601.95,1567.2671701113175,34.68282988868259
20.5084,1595.43,1556.9252662251238,38.504733774876286
20.849,1573.37,1546.5909196721886,26.779080327811243
21.1895,1556.8,1536.267909119139,20.532090880861006
21.5299,1542.64,1525.9600132326027,16.679986767397395
21.8704,1516.94,1515.6710106792073,1.268989320792798
22.2124,1527.58,1505.40468012558,22.175319874419984
22.5529,1505.06,1495.1886222702824,9.871377729717551
22.8933,1494.46,1485.0504378118756,9.409562188124482
23.2337,1474.67,1475.0177274489201,-0.3477274489200681
23.5741,1469.37,1465.1180918799766,4.251908120023245
23.9145,1460.37,1455.3310594820416,5.038940517958281
24.2564,1451.28,1445.6395082883462,5.6404917116537945
24.5968,1437.92,1436.02783603108,1.8921639689201584
24.9371,1440.49,1426.4804404424312,14.009559557568764
25.2774,1423.47,1416.9971505738567,6.472849426143284
25.6177,1414.66,1407.5777954768114,7.082204523188693
25.958,1416.16,1398.2222042027486,17.93779579725151
26.2983,1404.88,1388.930205803123,15.949794196877065
26.6386,1398.19,1379.7016293293893,18.48837067061072
26.9789,1398.58,1370.5363038330006,28.043696166999325
27.3191,1373.22,1361.4340583654105,11.785941634589562
27.6608,1386.9,1352.3947219780719,34.505278021928234
28.0011,1371.16,1343.4181237224377,27.74187627756237
28.3413,1376.94,1334.5040926499603,42.43590735003977
28.6814,1364.85,1325.6524578120918,39.197542187908084
29.0216,1355.49,1316.8630482602841,38.62695173971588
29.3618,1358.8,1308.1356930459888,50.66430695401118
29.7019,1358.73,1299.470221220657,59.25977877934292
30.042,1344.05,1290.8664618357393,53.18353816426065
30.3821,1345.45,1282.3242439426854,63.125756057314675
30.7222,1337.87,1273.8433965929446,64.02660340705529
31.0623,1343.03,1265.4237488379663,77.60625116203369
31.4024,1337.88,1257.065129729199,80.81487027080107
31.7424,1325.33,1248.767368318091,76.5626316819089
32.0825,1319.35,1240.5302936560904,78.8197063439095
32.4225,1321.44,1232.3537347946458,89.08626520535427
32.7625,1304.93,1224.2375207852053,80.69247921479473
33.1025,1311.82,1216.181480679217,95.63851932078296
33.4425,1317.79,1208.1854435281293,109.60455647187064
33.7824,1310.36,1200.2492383833915,110.11076161660844
34.1224,1313.38,1192.3726942964522,121.0073057035479
34.4623,1313.4,1184.5556403187595,128.84435968124058
34.8022,1305.39,1176.7979055017609,128.59209449823925
35.1421,1292.98,1169.0993188969035,123.88068110309655
35.482,1310.77,1161.4597095556344,149.3102904443656
35.8204,1309.0,1153.8789065294002,155.12109347059982
36.1602,1308.85,1146.356738869647,162.49326113035295
36.5001,1292.04,1138.8930356278202,153.1469643721798
36.8399,1298.61,1131.487625855365,167.12237414463493
37.1797,1298.05,1124.1403386037252,173.9096613962747
37.5195,1302.38,1116.8510029243448,185.5289970756553
37.8593,1301.35,1109.6194478686675,191.7305521313324
38.1991,1309.11,1102.4455024881363,206.6644975118636
38.5389,1298.84,1095.3289958341945,203.5110041658054
38.8771,1295.55,1088.2697569582854,207.28024304171458
39.2168,1300.8,1081.2676149118513,219.53238508814866
39.5565,1298.95,1074.322398746335,224.62760125366503
39.8962,1303.99,1067.4339375131783,236.5560624868217
40.2359,1295.37,1060.6020602638223,234.7679397361776
40.5756,1294.23,1053.8265960497079,240.40340395029216
40.9152,1298.89,1047.1073739222757,251.78262607772444
41.2534,1291.15,1040.444222932966,250.70577706703398
41.593,1291.92,1033.8369721332194,258.08302786678064
41.9326,1295.29,1027.285450574475,268.00454942552506
42.2722,1296.56,1020.7894873081718,275.7705126918281
42.6118,1295.59,1014.3489113857493,281.24108861425066
42.9498,1291.87,1007.9635518586464,283.9064481413535
43.2894,1292.67,1001.6332377783019,291.03676222169815
43.6289,1279.97,995.3577981961536,284.61220180384646
43.9684,1286.3,989.1370621636398,297.16293783636013
44.3064,1280.51,982.9708587321983,297.5391412678017
44.6459,1287.38,976.8590169532664,310.5209830467337
44.9854,1283.81,970.8013658782812,313.0086341217187
45.3249,1273.64,964.79773455868,308.84226544132014
45.6628,1271.81,958.8479520459001,312.96204795409983
46.0023,1280.96,952.9518473913793,328.0081526086208
46.3417,1288.44,947.1092496465549,341.3307503534452
46.6811,1285.36,941.3199878628643,344.0400121371356
47.019,1280.55,935.5838910917441,344.9661089082558
47.3583,1277.64,929.9007883846307,347.7392116153694
47.6977,1285.87,924.2705087929598,361.59949120704005
48.0355,1285.64,918.6928813681677,366.9471186318324
48.3749,1266.31,913.1677351616898,353.1422648383101
48.7142,1286.21,907.6948992249618,378.51510077503826
49.052,1266.02,902.274202609418,363.74579739058197
49.3913,1269.36,896.9054743664935,372.45452563350636
49.7305,1265.62,891.588543547623,374.0314564523769
50.0683,1253.02,886.3232392042404,366.6967607957596
50.4075,1255.28,881.1093903877797,374.17060961222023
50.7468,1260.18,875.9468261496747,384.23317385032533
51.0845,1248.01,870.8353755413591,377.1746244586409
51.4237,1249.34,865.7748676142669,383.565132385733
51.7629,1243.67,860.7651314198323,382.9048685801678
52.1005,1250.56,855.8059960094895,394.75400399051045
52.4397,1238.67,850.8972904346725,387.77270956532755
52.7773,1222.97,846.0388437468147,376.93115625318535
53.1164,1228.73,841.2304849973489,387.49951500265115
53.4556,1248.42,836.4720432377075,411.9479567622926
53.7932,1223.4,831.7633475193223,391.63665248067775
54.1322,1230.11,827.1042268936251,403.0057731063748
54.4698,1217.26,822.4945104120475,394.7654895879525
54.8089,1201.53,817.9340271260207,383.59597287397924
55.1464,1217.29,813.4226060869756,403.86739391302433
55.4854,1187.65,808.9600763463429,378.68992365365716
55.8244,1188.38,804.546266955553,383.83373304444706
56.1619,1197.44,800.181006966036,397.2589930339641
56.5009,1178.28,795.8641254292213,382.41587457077867
56.8383,1179.67,791.5954513965388,388.07454860346127
57.1773,1173.17,787.3748139194178,385.7951860805823
57.5147,1162.16,783.2020420492872,378.95795795071285
57.8537,1148.94,779.076964837576,369.863035162424
58.1911,1131.07,774.9994113357129,356.070588664287
58.53,1131.5,770.9692105951258,360.5307894048742
58.8673,1146.67,766.9861916672422,379.68380833275785
59.2062,1120.0,763.0501836034898,356.9498163965102
59.5435,1124.48,759.1610154552963,365.31898454470377
59.8824,1112.04,755.3185162740887,356.7214837259113
60.2197,1111.54,751.5225151112942,360.0174848887058
60.5585,1105.36,747.7728410183391,357.58715898166076
60.8958,1091.23,744.0693230466497,347.1606769533503
61.233,1083.24,740.4117902476518,342.82820975234824
61.5718,1076.38,736.8000716727713,339.5799283272288
61.909,1086.67,733.2339963734341,353.43600362656593
62.2478,1068.73,729.7133934010658,339.01660659893423
62.585,1061.28,726.2380918070917,335.0419081929083
62.9237,1062.62,722.8079206429371,339.81207935706277
63.2609,1044.69,719.4227089600272,325.26729103997286
63.5981,1045.41,716.0822858097872,329.3277141902129
63.9367,1054.04,712.7864802436426,341.2535197563574
64.2739,1048.48,709.535121313018,338.94487868698207
64.611,1057.11,706.328038069338,350.78196193066185
64.9496,1021.93,703.1650595640272,318.7649404359728
65.2867,1024.46,700.0460148485095,324.4139851514906
65.6253,1010.59,696.9707329742092,313.6192670257908
65.9623,1012.0,693.93904299255,318.06095700745004
66.2994,1021.38,690.9507739549554,330.42922604504463
66.6379,1019.85,688.0057549128486,331.8442450871514
66.975,1013.17,685.1038149176529,328.06618508234703
67.312,1006.37,682.2447830207919,324.12521697920806
67.6505,1001.26,679.4284882736889,321.8315117263111
67.9875,1007.8,676.654759727767,331.14524027223297
68.3244,1000.78,673.9234264344493,326.85657356555066
68.6629,994.153,671.2343174451585,322.91868255484155
68.9998,983.873,668.5872618113164,315.2857381886837
69.3367,992.681,665.9820885843445,326.6989114156555
69.6737,995.902,663.4186268156647,332.4833731843354
70.0121,992.65,660.8967055566977,331.75329444330225
70.3489,984.182,658.4161538588651,325.76584614113494
70.6858,975.133,655.9768007735878,319.15619922641224
71.0226,967.521,653.5784753522864,313.9425246477135
71.361,977.356,651.221006646382,326.13499335361803
71.6978,951.245,648.9042237072947,302.3407762927053
