Wavenumber,Original,Predicted_Baseline,Corrected_Predicted,Default_Baseline,Corrected_Default
39.8962,1356.54,1235.9963410084592,120.54365899154072,1357.1176746207937,-0.5776746207936867
40.2359,1338.61,1230.1497721402686,108.46022785973128,1353.8498054113577,-15.239805411357793
40.5756,1339.52,1224.3890107557659,115.13098924423412,1350.7414579956744,-11.221457995674427
40.9152,1344.65,1218.713536860156,125.93646313984414,1347.749243874562,-3.0992438745618074
41.2534,1335.22,1213.1228304586434,122.0971695413566,1344.788385984829,-9.568385984828865
41.593,1334.41,1207.6163715564328,126.79362844356729,1341.926057233269,-7.516057233268839
41.9326,1339.24,1202.1936401587282,137.04635984127185,1339.140672231875,0.09932776812502198
42.2722,1324.93,1196.8541162707327,128.0758837292674,1336.3542916976025,-11.424291697602484
42.6118,1332.9,1191.5972798976497,141.30272010235035,1333.6860955372317,-0.7860955372316312
42.9498,1330.64,1186.422611044683,144.21738895531712,1331.0257953149166,-0.3857953149165496
43.2894,1334.94,1181.3295897170356,153.6104102829645,1328.3693655322359,6.570634467764194
43.6289,1316.21,1176.3176959199093,139.89230408009075,1325.7129357495548,-9.502935749554808
43.9684,1317.6,1171.386409658506,146.21359034149395,1323.154255279733,-5.55425527973307
44.3064,1314.35,1166.5352109380276,147.8147890619723,1320.6520842049001,-6.302084204900211
44.6459,1307.57,1161.7635797636756,145.80642023632436,1318.214160163782,-10.64416016378209
44.9854,1316.95,1157.0709961406512,159.8790038593488,1315.8860527939664,1.0639472060336175
45.3249,1316.6,1152.4569400741555,164.14305992584445,1313.5579454241506,3.0420545758493063
45.6628,1326.17,1147.9208915693891,178.24910843061093,1311.2298380543346,14.940161945665523
46.0023,1312.93,1143.4623306315525,169.46766936844756,1308.9017306845185,4.028269315481566
46.3417,1297.65,1139.0807372658453,158.5692627341548,1306.5736233147022,-8.923623314702127
46.6811,1300.51,1134.7755914774668,165.73440852253316,1304.3371313354337,-3.8271313354337053
47.019,1302.61,1130.5463732716164,172.0636267283835,1302.1393815769584,0.4706184230415147
47.3583,1311.22,1126.3925626534933,184.8274373465067,1299.9369239101159,11.283076089884162
47.6977,1300.78,1122.3136396282964,178.46636037170356,1297.7344662432736,3.0455337567263996
48.0355,1294.24,1118.3090842012255,175.93091579877455,1295.5320085764313,-1.2920085764312716
48.3749,1297.44,1114.3783763774802,183.06162362251985,1293.342539177383,4.097460822616995
48.7142,1292.99,1110.5209961622597,182.46900383774027,1291.153069778335,1.836930221664943
49.052,1288.3,1106.736423560763,181.56357643923707,1288.9636003792868,-0.6636003792868905
49.3913,1286.67,1103.024138578188,183.64586142181201,1286.7807907904303,-0.11079079043020101
49.7305,1279.06,1099.3836212197339,179.67637878026608,1284.5990914034394,-5.539091403439443
50.0683,1270.81,1095.814351490599,174.995648509401,1282.4737368844933,-11.663736884493346
