Wavenumber,Original,Baseline,Corrected
900.53082,2427717.0,2353264.9092393415,74452.0907606585
901.8009,2415005.0,2348505.8971387483,66499.10286125168
903.07098,2406364.0,2343748.8012411725,62615.19875882752
904.34082,2397051.0,2338995.5377496313,58055.46225036867
905.60907,2390581.0,2334248.022867139,56332.97713286104
906.87866,2383260.0,2329508.1727967085,53751.82720329147
908.14807,2371376.0,2324777.9037413513,46598.09625864867
909.41583,2366672.0,2320059.1319040754,46612.86809592461
910.68506,2357446.0,2315353.773487887,42092.22651211312
911.95404,2350491.0,2310663.74469579,39827.25530420989
913.22137,2341153.0,2305990.961730788,35162.038269212004
914.49011,2332963.0,2301337.340795883,31625.659204117022
915.75714,2325112.0,2296704.7980940756,28407.20190592436
917.02557,2320643.0,2292095.2498283647,28547.7501716353
918.29388,2310290.0,2287510.612201747,22779.38779825298
919.56049,2305952.0,2282952.8014172176,22999.19858278241
920.82697,2295135.0,2278423.7336777695,16711.266322230455
922.09485,2288977.0,2273925.3251863946,15051.67481360538
923.36102,2284127.0,2269459.492146082,14667.507853917778
924.62854,2278230.0,2265028.1507598194,13201.84924018057
925.89441,2269565.0,2260633.217230593,8931.782769407146
927.16022,2266459.0,2256276.6077613872,10182.392238612752
928.42731,2259275.0,2251960.238555185,7314.761444814969
929.69281,2254173.0,2247686.025814967,6486.97418503277
930.95807,2244903.0,2243455.8857437144,1447.1142562855966
932.22485,2244665.0,2239271.7345444057,5393.265455594286
933.48987,2238401.0,2235135.4884200175,3265.5115799824707
934.7547,2231850.0,2231049.0635735234,800.9364264765754
936.01953,2230856.0,2227014.3762078956,3841.623792104423
937.28412,2222698.0,2223033.792716807,-335.79271680722013
938.54858,2222786.0,2219109.679493929,3676.320506071206
939.81287,2216256.0,2215239.6218229057,1016.3781770942733
941.07855,2214959.0,2211421.204987381,3537.7950126188807
942.34259,2210202.0,2207653.714116754,2548.2858832459897
943.60645,2208434.0,2203936.4343404206,4497.565659579355
944.87018,2208259.0,2200268.967157739,7990.032842260785
946.13373,2203371.0,2196650.9140680665,6720.085931933485
947.39581,2204258.0,2193081.8765707584,11176.12342924159
948.65906,2201300.0,2189561.4561651684,11738.543834831566
949.92224,2201874.0,2186089.2543506487,15784.745649351273
951.18524,2198562.0,2182664.872626549,15897.127373450901
952.44806,2199033.0,2179287.9124922175,19745.087507782504
953.71088,2200807.0,2175957.975447,24849.024552999996
954.97345,2200992.0,2172674.6629902413,28317.33700975869
956.23438,2203026.0,2169437.576621285,33588.423378714826
957.49664,2203301.0,2166246.3178394735,37054.682160526514
958.75879,2207578.0,2163100.488144145,44477.51185585512
960.02087,2213346.0,2159999.689034637,53346.310965362936
961.28125,2221187.0,2156943.522010284,64243.47798971599
962.54297,2230905.0,2153931.588570419,76973.41142958123
963.80304,2241556.0,2150963.4902143735,90592.50978562655
965.06445,2258284.0,2148038.828441479,110245.17155852122
966.32574,2286420.0,2145157.204751063,141262.79524893686
967.58545,2314644.0,2142318.220642454,172325.779357546
968.84644,2343632.0,2139521.477614977,204110.52238502307
970.10577,2386038.0,2136766.577167955,249271.42283204477
971.36652,2423102.0,2134053.12080071,289048.8791992902
972.62555,2473725.0,2131380.71001256,342344.2899874402
973.88452,2539565.0,2128748.946302823,410816.0536971772
975.14478,2640435.0,2126157.431170816,514277.56882918393
976.4035,2795255.0,2123605.766115856,671649.2338841441
977.66345,3017208.0,2121093.552637257,896114.4473627429
978.92181,3364755.0,2118620.392234332,1246134.607765668
980.18005,3906500.0,2116185.886406391,1790314.113593609
981.43811,4767182.0,2113789.636652742,2653392.363347258
982.69751,6104976.0,2111431.2444726923,3993544.7555273077
983.95532,7841115.0,2109110.3113655467,5732004.688634453
985.21295,9324880.0,2106826.4388306076,7218053.561169392
986.47046,9553452.0,2104579.228367177,7448872.771632823
987.72784,8344269.0,2102368.2814745554,6241900.718525445
988.98511,6568824.0,2100193.1996520394,4468630.800347961
990.24219,5098360.0,2098053.584398926,3000306.415601074
991.50061,4111174.0,2095949.037214509,2015224.962785491
992.75739,3518116.0,2093879.1595980811,1424236.8404019189
994.01404,3148548.0,2091843.5530489318,1056704.4469510682
995.27051,2931450.0,2089841.8190663492,841608.1809336508
996.52539,2790247.0,2087873.559149621,702373.440850379
997.78162,2712209.0,2085938.3747980322,626270.6252019678
999.03766,2661081.0,2084035.8675108661,577045.1324891339
1000.2936,2637236.0,2082165.6387874044,555070.3612125956
1001.5494,2631981.0,2080327.2901269272,551653.7098730728
1002.8051,2645886.0,2078520.4230287124,567365.5769712876
1004.0605,2665303.0,2076744.638992036,588558.361007964
1005.3144,2692216.0,2074999.5395161724,617216.4604838276
1006.5696,2733091.0,2073284.7261003938,659806.2738996062
1007.8248,2780048.0,2071599.800243971,708448.1997560291
1009.0797,2830034.0,2069944.3634461733,760089.6365538267
1010.3329,2891740.0,2068318.0172062675,823421.9827937325
1011.5876,2948196.0,2066720.3630235197,881475.6369764803
1012.8406,3008288.0,2065151.0023971943,943136.9976028057
1014.095,3070516.0,2063609.536826554,1006906.463173446
1015.3492,3125281.0,2062095.567810859,1063185.432189141
1016.6019,3179750.0,2060608.6968493683,1119141.3031506317
1017.8558,3217039.0,2059148.5254413388,1157890.4745586612
1019.1081,3250116.0,2057714.6550860265,1192401.3449139735
1020.3618,3259500.0,2056306.687282686,1203193.312717314
1021.6138,3256274.0,2054924.2235305689,1201349.7764694311
1022.8656,3242093.0,2053566.8653289252,1188526.1346710748
1024.1189,3200947.0,2052234.214177004,1148712.785822996
1025.3704,3147948.0,2050925.8715740535,1097022.1284259465
1026.6218,3081902.0,2049641.4390193205,1032260.5609806795
1027.8746,3006294.0,2048380.5180120496,957913.4819879504
1029.1259,2930683.0,2047142.7100514842,883540.2899485158
1030.3768,2846495.0,2045927.6166368637,800567.3833631363
1031.6278,2769412.0,2044734.8392674262,724677.1607325738
1032.88,2695164.0,2043563.9794424085,651600.0205575915
1034.1306,2619022.0,2042414.6386610453,576607.3613389547
1035.3811,2562980.0,2041286.4184225702,521693.5815774298
1036.6313,2511221.0,2040178.9202262159,471042.07977378415
1037.8816,2470929.0,2039091.7455712135,431837.25442878646
1039.1316,2450295.0,2038024.4959567925,412270.5040432075
1040.3816,2442247.0,2036976.7728821805,405270.2271178195
1041.6313,2450330.0,2035948.177846604,414381.822153396
1042.8809,2482923.0,2034938.3123492873,447984.6876507127
1044.1304,2547870.0,2033946.7778894533,513923.22211054666
1045.3796,2657354.0,2032973.1759663238,624380.8240336762
1046.6288,2837627.0,2032017.1080791198,805609.8919208802
1047.8779,3125103.0,2031078.1757270617,1094024.8242729383
1049.1268,3539392.0,2030155.9804093668,1509236.0195906332
1050.3741,4046045.0,2029250.1236252517,2016794.8763747483
1051.6227,4433200.0,2028360.206873932,2404839.793126068
1052.8712,4442425.0,2027485.8316546204,2414939.1683453796
1054.1195,4064915.0,2026626.5994665292,2038288.4005334708
1055.3662,3541260.0,2025782.1118088677,1515477.8881911323
1056.6143,3089861.0,2024951.9701808437,1064909.0298191563
1057.8622,2768896.0,2024135.7760816645,744760.2239183355
1059.1085,2552153.0,2023333.1310105342,528819.8689894658
1060.3562,2406745.0,2022543.6364666563,384201.36353334365
1061.6022,2308905.0,2021766.893949232,287138.10605076794
1062.8495,2244169.0,2021002.5049574613,223166.49504253874
1064.0952,2201022.0,2020250.070990542,180771.92900945805
1065.3423,2171950.0,2019509.1935476705,152440.8064523295
1066.5878,2154985.0,2018779.4741280426,136205.52587195742
1067.8345,2148689.0,2018060.5142308509,130628.48576914915
1069.0797,2141662.0,2017351.915355286,124310.0846447139
1070.3262,2140915.0,2016653.2790005377,124261.7209994623
1071.571,2130697.0,2015964.2066657937,114732.79333420633
1072.8158,2113256.0,2015284.29985024,97971.70014976012
1074.0619,2090934.0,2014613.1600530606,76320.83994693938
1075.3064,2077524.0,2013950.3887734385,63573.61122656148
1076.5507,2059899.0,2013295.5875105546,46603.412489445414
1077.7948,2047242.0,2012648.3577635882,34593.642236411804
1079.0388,2038555.0,2012008.3010317169,26546.698968283134
1080.2843,2033538.0,2011375.018814117,22162.98118588305
1081.5281,2028945.0,2010748.1126099634,18196.8873900366
1082.7717,2022834.0,2010127.183918429,12706.816081570927
1084.0151,2022433.0,2009511.8342386845,12921.165761315497
1085.2584,2019548.0,2008901.6650698998,10646.334930100245
1086.5017,2018873.0,2008296.2779112437,10576.722088756273
1087.7448,2020355.0,2007695.2742618837,12659.725738116307
1088.9875,2018003.0,2007098.2556209837,10904.744379016338
1090.2303,2014796.0,2006504.8234877062,8291.17651229375
1091.473,2018397.0,2005914.5793612122,12482.420638787793
1092.7156,2017647.0,2005327.124740661,12319.875259339111
1093.9579,2016078.0,2004742.0611252093,11335.938874790678
1095.1986,2018477.0,2004158.9900140127,14318.00998598733
1096.4407,2017111.0,2003577.5129062235,13533.487093776464
1097.6826,2016315.0,2002997.2313009936,13317.76869900641
1098.9243,2018187.0,2002417.7466974696,15769.253302530386
1100.1646,2017322.0,2001838.6605947989,15483.339405201143
