Wavenumber,Original,Predicted_Baseline,Corrected_Predicted,Default_Baseline,Corrected_Default
300.84641,1.01883,1.005628188051558,0.013201811948441833,0.9331172516131698,0.08571274838683007
301.62113,0.994209,0.9942090323665376,-3.236653756122365e-08,0.9322604373094117,0.06194856269058835
302.39584,1.023443,0.9828262691386647,0.04061673086133544,0.9314036230056534,0.09203937699434672
303.17056,1.056076,0.9714798517603971,0.08459614823960293,0.9305468087018952,0.1255291912981048
303.94528,0.988894,0.9601697336242816,0.028724266375718455,0.9296899943981369,0.05920400560186312
304.72,0.988334,0.9488958681228674,0.03943813187713263,0.9288331800943787,0.059500819905621394
305.49471,1.056506,0.9376582086487029,0.11884779135129708,0.9279763657906206,0.12852963420937935
306.26943,1.025162,0.926456708594336,0.09870529140566386,0.9271195514868624,0.09804244851313748
307.04415,0.977693,0.9152913213523152,0.062401678647684866,0.9262627371831044,0.05143026281689567
307.81887,1.015478,0.9041620003151881,0.11131599968481198,0.9254059228793464,0.09007207712065368
308.59358,0.976762,0.8930686988755024,0.08369330112449758,0.9245491085755885,0.052212891424411545
309.3683,0.976095,0.8820113704258055,0.09408362957419458,0.9236922942718306,0.05240270572816941
310.14302,1.002332,0.8709899683586438,0.13134203164135616,0.9228354799680729,0.07949652003192709
310.91774,0.92003,0.860004446066564,0.060025553933436004,0.921978665664315,-0.0019486656643149525
311.69245,0.926581,0.8490547569421115,0.07752624305788847,0.9211416640732214,0.005439335926778588
312.46717,0.970054,0.8381408543778314,0.1319131456221686,0.9202501568956458,0.04980384310435415
313.24189,0.952365,0.8272626917662682,0.1251023082337318,0.9193586497180701,0.033006350281929886
314.0166,1.002073,0.8164202224999663,0.18565277750003373,0.9184671425404943,0.08360585745950566
314.79132,0.955128,0.80561339997147,0.14951460002853,0.9175756353629185,0.03755236463708145
315.56604,0.935392,0.7948421775733232,0.1405498224266768,0.9166841281853427,0.018707871814657273
316.34076,1.043881,0.7841065086980694,0.25977449130193064,0.9157926210077668,0.12808837899223324
317.11547,0.979141,0.7734063467382519,0.2057346532617481,0.914901113830191,0.06423988616980902
317.89019,0.98963,0.7627416450864137,0.22688835491358628,0.9140096066526152,0.0756203933473848
318.66491,0.93243,0.7521123571350975,0.18031764286490248,0.9131180994750394,0.019311900524960568
319.43963,0.965173,0.7415184362768452,0.22365456372315473,0.9122265922974637,0.052946407702536225
320.21434,0.989385,0.7309598359041982,0.25842516409580174,0.9113350851198879,0.07804991488011204
320.98906,0.940907,0.7204365094096973,0.22047049059030277,0.9104435779423121,0.030463422057687928
321.76378,0.998142,0.7099484101858833,0.2881935898141167,0.9095520707647362,0.08858992923526376
322.5385,0.960491,0.699495491625297,0.260995508374703,0.9086605635871602,0.0518304364128398
323.31321,0.971552,0.6890777071204793,0.28247429287952064,0.9077690564095844,0.06378294359041559
324.08793,0.95915,0.678695010063971,0.2804549899360289,0.9068775492320086,0.05227245076799136
324.86265,1.051517,0.6683473538483126,0.38316964615168747,0.9059860420544327,0.14553095794556736
325.63736,0.980128,0.658034691866044,0.322093308133956,0.9050945348768568,0.07503346512314324
326.41208,0.939884,0.6477569775097048,0.2921270224902952,0.9042030276992808,0.035680972300719205
327.1868,1.010502,0.6375141641718342,0.37298783582816586,0.9033115205217049,0.10719047947829508
327.96152,0.93237,0.6273062052449707,0.3050637947550293,0.902420013344129,0.029949986655871008
328.73623,0.985898,0.6171330541216534,0.36876494587834663,0.9015285061665531,0.08436949383344694
329.51095,0.903012,0.6069946641944209,0.2960173358055791,0.9006369989889771,0.002375001011022948
330.28567,0.92627,0.5968909888558116,0.32937901114418844,0.8997214175474223,0.02654858245257774
331.06039,0.983403,0.5868219814983633,0.39658101850163674,0.8988058361058675,0.08459716389413252
331.8351,1.003244,0.5767875955146138,0.42645640448538624,0.8978902546643128,0.1053537453356872
332.60982,0.981056,0.5667877842971006,0.4142682157028994,0.8969746732227581,0.0840813267772419
333.38454,0.969486,0.5568225012383614,0.41266349876163855,0.8960590917812036,0.07342690821879638
334.15925,0.961766,0.5468916997309339,0.41487430026906613,0.895143510339649,0.066622489660351
334.93397,0.916431,0.5369953331673555,0.3794356668326445,0.8942279288980945,0.022203071101905447
335.70869,0.944492,0.527133354940163,0.417358645059837,0.8933123474565401,0.05117965254345991
336.48341,0.953608,0.5173057184418934,0.4363022815581066,0.8923967660149857,0.06121123398501427
337.25812,1.010434,0.5075123770650839,0.5029216229349162,0.8914811845734315,0.11895281542656855
338.03284,0.982676,0.4977532842022717,0.4849227157977283,0.8905656031318772,0.09211039686812283
338.80756,0.902096,0.48802839324599395,0.41406760675400606,0.8896500216903229,0.012445978309677086
339.58228,0.980506,0.4783376575887874,0.5021683424112127,0.8887344402487688,0.09177155975123119
340.35699,0.952892,0.4686810306231884,0.4842109693768116,0.8878188588072147,0.06507314119278529
341.13171,0.941109,0.45905846574173365,0.4820505342582663,0.8869032773656603,0.05420572263433965
341.90643,0.989228,0.4494699163369595,0.5397580836630405,0.8859876959241061,0.10324030407589391
342.68115,1.004394,0.43991533580140213,0.5644786641985979,0.8850721144825519,0.11932188551744816
343.45586,0.999873,0.4303946775275978,0.5694783224724023,0.8841565330409976,0.1157164669590024
344.23058,0.932016,0.4209078949080826,0.5111081050919173,0.8832409515994434,0.048775048400556575
345.0053,0.951368,0.41145494133539257,0.5399130586646075,0.8823253701578893,0.06904262984211074
345.78001,0.974908,0.40203577020206344,0.5728722297979365,0.8814097887163351,0.09349821128366487
346.55473,0.998582,0.392650334900631,0.6059316650993689,0.8804942072747808,0.11808779272521919
