Spectrum,Lambda,Tau
0,177588.18248525562,1.4398601509568947e-05
1,148253.80869842402,1.2759107969065806e-05
2,163955.71614749997,9.430424663787387e-06
3,149163.3434502553,9.831441231103276e-06
