Corrected,Result
2.60E-04,0.00401
-3.40E-04,0.0035
-8.70E-04,0.00306
-0.00137,0.00265
-0.00179,0.00232
-0.00218,0.00202
-0.00253,0.00176
-0.00283,0.00155
-0.00309,0.00138
-0.00333,0.00123
-0.00353,0.00112
-0.0037,0.00104
-3.85E-03,9.80E-04
-3.96E-03,9.60E-04
-4.05E-03,9.50E-04
-4.12E-03,9.80E-04
-4.16E-03,0.00102
-4.17E-03,0.0011
-0.00416,0.0012
-0.00412,0.00133
-0.00404,0.00149
-0.00395,0.00168
-0.00381,0.0019
-0.00364,0.00217
-0.00343,0.00246
-0.00318,0.0028
-0.00288,0.00318
-0.00254,0.00362
-0.00213,0.00411
-0.00168,0.00465
-0.00116,0.00525
-5.80E-04,0.00592
9.00E-05,0.00667
8.20E-04,0.00749
0.00164,0.00839
0.00253,0.00937
0.00352,0.01045
0.00461,0.01162
0.00579,0.01289
0.00708,0.01427
0.00848,0.01575
0.00998,0.01733
0.0116,0.01904
0.01334,0.02085
0.01519,0.02279
0.01716,0.02484
0.01925,0.02702
0.02145,0.0293
0.02377,0.03171
0.02621,0.03422
0.02875,0.03684
0.03139,0.03956
0.03412,0.04237
0.03694,0.04527
0.03984,0.04825
0.04281,0.0513
0.04583,0.05441
0.0489,0.05756
0.05201,0.06075
0.05513,0.06394
0.05825,0.06714
0.06135,0.07031
0.06442,0.07347
0.06744,0.07656
0.0704,0.0796
0.07326,0.08254
0.07602,0.08537
0.07866,0.08809
0.08117,0.09067
0.08351,0.09309
0.08569,0.09534
0.08767,0.0974
0.08947,0.09926
0.09103,0.1009
0.09238,0.10233
0.09349,0.1035
0.09436,0.10444
0.09497,0.10513
0.09533,0.10556
0.09544,0.10574
0.09529,0.10566
0.09488,0.10532
0.09422,0.10473
0.09332,0.1039
0.09217,0.10281
0.0908,0.10151
0.08921,0.09998
0.08742,0.09826
0.08544,0.09634
0.08327,0.09424
0.08095,0.09198
0.07849,0.08959
0.07591,0.08707
0.07322,0.08445
0.07046,0.08175
0.06762,0.07897
0.06476,0.07617
0.06186,0.07333
0.05896,0.07049
0.05608,0.06768
0.05325,0.0649
0.05047,0.06218
0.04778,0.05955
0.04518,0.057
0.04271,0.05459
0.04038,0.05232
0.03821,0.05021
0.03624,0.04829
0.0345,0.0466
0.03301,0.04517
0.03181,0.04403
0.03095,0.04321
0.03047,0.04279
0.03043,0.0428
0.03088,0.0433
0.03189,0.04437
0.03356,0.04608
0.03594,0.04851
0.03912,0.05174
0.04319,0.05586
0.04823,0.06095
0.05432,0.06708
0.06152,0.07433
0.06988,0.08273
0.07942,0.09232
0.09014,0.10309
0.10202,0.11501
0.11498,0.12801
0.1289,0.14197
